AgentType,TotalOrders,AvgAbsSlippage,NetSlippage,MaxAbsSlippage,PctIn,PctOut,AvgTime,FinalPctProfit,SlipAdjPctProfit,AvgSize
HeuristicBeliefAgent,100,0.0,0,0,100,0,26093.524859,-0.47686,-0.47686,131.13
HeuristicBeliefAgent,130,0.0,0,0,100,0,24166.665694,-0.04389,-0.04389,133.7734375
HeuristicBeliefAgent,153,0.0,0,0,100,0,23981.200782,-0.14649,-0.14649,149.72847682119206
HeuristicBeliefAgent,98,0.0,0,0,100,0,17522.983924,-0.05122,-0.05122,141.0
HeuristicBeliefAgent,146,0.0,0,0,100,0,21615.555129,-0.08826,-0.08826,155.04225352112675
HeuristicBeliefAgent,119,0.0,0,0,100,0,18470.510428,-0.10636,-0.10636,138.14406779661016
HeuristicBeliefAgent,130,0.0,0,0,100,0,17964.772148,-0.04694,-0.04694,146.42857142857142
HeuristicBeliefAgent,104,0.0,0,0,100,0,21880.879917,-0.02358,-0.02358,134.84
HeuristicBeliefAgent,90,0.0,0,0,100,0,15522.209165,-0.24908,-0.24908,149.25555555555556
HeuristicBeliefAgent,125,0.0,0,0,100,0,18765.266992,-0.01541,-0.01541,139.61475409836066
HeuristicBeliefAgent,113,0.0,0,0,100,0,16467.390849,-0.0127,-0.0127,145.73394495412845
HeuristicBeliefAgent,166,0.0,0,0,100,0,21796.730888,-0.03812,-0.03812,144.7987804878049
HeuristicBeliefAgent,104,0.0,0,0,100,0,18368.201752,-0.09976,-0.09976,131.0097087378641
HeuristicBeliefAgent,123,0.0,0,0,100,0,14809.390059,-0.00777,-0.00777,146.58196721311475
HeuristicBeliefAgent,107,0.0,0,0,100,0,28497.418451,-0.12574,-0.12574,140.5607476635514
HeuristicBeliefAgent,86,0.0,0,0,100,0,27849.692632,-0.02342,-0.02342,142.01162790697674
HeuristicBeliefAgent,105,0.0,0,0,100,0,26526.68041,-0.098,-0.098,132.94174757281553
HeuristicBeliefAgent,100,0.0,0,0,100,0,18893.200896,-0.03461,-0.03461,137.9387755102041
HeuristicBeliefAgent,115,0.0,0,0,100,0,26080.231194,-0.07229,-0.07229,136.16814159292036
HeuristicBeliefAgent,118,0.0,0,0,100,0,32356.260955,-0.0952,-0.0952,155.61946902654867
HeuristicBeliefAgent,132,0.0,0,0,100,0,28992.480439,-0.02221,-0.02221,138.9921875
HeuristicBeliefAgent,126,0.0,0,0,100,0,23227.36348,-0.35418,-0.35418,131.50806451612902
HeuristicBeliefAgent,111,0.0,0,0,100,0,27735.593932,-0.14023,-0.14023,133.86915887850466
HeuristicBeliefAgent,104,0.0,0,0,100,0,15976.143485,-0.05864,-0.05864,145.82692307692307
HeuristicBeliefAgent,84,0.0,0,0,100,0,15732.333183,-0.05647,-0.05647,149.76829268292684
HeuristicBeliefAgent,115,0.0,0,0,100,0,16125.294532,-0.0943,-0.0943,126.92035398230088
HeuristicBeliefAgent,121,0.0,0,0,100,0,12747.170004,-0.06647,-0.06647,147.05833333333334
HeuristicBeliefAgent,100,0.0,0,0,100,0,24801.882739,-0.45548,-0.45548,144.989898989899
HeuristicBeliefAgent,108,0.0,0,0,100,0,20805.569751,-0.0189,-0.0189,143.89814814814815
HeuristicBeliefAgent,112,0.0,0,0,100,0,24671.129422,-0.04563,-0.04563,140.41964285714286
HeuristicBeliefAgent,84,0.0,0,0,100,0,39860.627456,-0.21731,-0.21731,149.87951807228916
HeuristicBeliefAgent,99,0.0,0,0,100,0,21558.243458,-0.24627,-0.24627,126.94897959183673
HeuristicBeliefAgent,111,0.0,0,0,100,0,20506.728957,-0.05406,-0.05406,141.58333333333334
HeuristicBeliefAgent,93,0.0,0,0,100,0,22059.336056,-0.05742,-0.05742,139.06451612903226
HeuristicBeliefAgent,97,0.0,0,0,100,0,33738.346352,-0.23148,-0.23148,147.04166666666666
HeuristicBeliefAgent,105,0.0,0,0,100,0,24434.375965,-0.03848,-0.03848,121.32038834951456
HeuristicBeliefAgent,98,0.0,0,0,100,0,30044.989786,-0.05863,-0.05863,155.20618556701032
HeuristicBeliefAgent,107,0.0,0,0,100,0,27341.92656,-0.08985,-0.08985,159.10280373831776
HeuristicBeliefAgent,104,0.0,0,0,100,0,25616.021694,-0.03034,-0.03034,118.44117647058823
HeuristicBeliefAgent,106,0.0,0,0,100,0,21481.516931,-0.11811,-0.11811,159.76190476190476
HeuristicBeliefAgent,155,0.0,0,0,100,0,21022.042752,-0.03988,-0.03988,146.2185430463576
HeuristicBeliefAgent,116,0.0,0,0,100,0,20272.081125,-0.01281,-0.01281,147.52293577981652
HeuristicBeliefAgent,99,0.0,0,0,100,0,21557.531407,-0.14884,-0.14884,136.1734693877551
HeuristicBeliefAgent,90,0.0,0,0,100,0,21553.881648,-0.05948,-0.05948,114.16666666666667
HeuristicBeliefAgent,160,0.0,0,0,100,0,19606.218494,-0.04754,-0.04754,146.7405063291139
HeuristicBeliefAgent,91,0.0,0,0,100,0,21748.646373,-0.1239,-0.1239,146.14444444444445
HeuristicBeliefAgent,103,0.0,0,0,100,0,23458.493624,-0.06763,-0.06763,139.44660194174756
HeuristicBeliefAgent,116,0.0,0,0,100,0,21600.310797,-0.03321,-0.03321,128.86725663716814
HeuristicBeliefAgent,105,0.0,0,0,100,0,33840.665572,-0.09484,-0.09484,138.98095238095237
HeuristicBeliefAgent,98,0.0,0,0,100,0,29450.301082,-0.34175,-0.34175,159.25510204081633
HeuristicBeliefAgent,124,0.0,0,0,100,0,22069.408192,-0.01534,-0.01534,147.13934426229508
HeuristicBeliefAgent,102,0.0,0,0,100,0,30157.929938,-0.0231,-0.0231,135.86138613861385
HeuristicBeliefAgent,116,0.0,0,0,100,0,24462.263919,-0.08519,-0.08519,138.23275862068965
HeuristicBeliefAgent,91,0.0,0,0,100,0,29137.027025,-0.55014,-0.55014,142.7032967032967
HeuristicBeliefAgent,118,0.0,0,0,100,0,21716.588906,-0.23069,-0.23069,131.1391304347826
HeuristicBeliefAgent,121,0.0,0,0,100,0,16608.109424,-0.04955,-0.04955,150.61666666666667
HeuristicBeliefAgent,100,0.0,0,0,100,0,24120.424766,-0.07226,-0.07226,135.82828282828282
HeuristicBeliefAgent,95,0.0,0,0,100,0,18790.349288,-0.23147,-0.23147,137.7578947368421
HeuristicBeliefAgent,123,0.0,0,0,100,0,23969.398414,-0.10199,-0.10199,137.72131147540983
HeuristicBeliefAgent,176,0.0,0,0,100,0,17938.641968,-0.06876,-0.06876,143.92441860465115
HeuristicBeliefAgent,101,0.0,0,0,100,0,22591.774174,-0.02521,-0.02521,142.61
HeuristicBeliefAgent,135,0.0,0,0,100,0,21873.536402,-0.06151,-0.06151,139.7037037037037
HeuristicBeliefAgent,148,0.0,0,0,100,0,22228.122447,-0.12893,-0.12893,150.22758620689655
HeuristicBeliefAgent,124,0.0,0,0,100,0,17081.618117,-0.05014,-0.05014,149.65853658536585
HeuristicBeliefAgent,148,0.0,0,0,100,0,26882.607976,-0.03274,-0.03274,139.66206896551725
HeuristicBeliefAgent,122,0.0,0,0,100,0,15888.023994,-0.0239,-0.0239,132.34710743801654
HeuristicBeliefAgent,97,0.0,0,0,100,0,33982.249676,-0.20823,-0.20823,136.81052631578947
HeuristicBeliefAgent,119,0.0,0,0,100,0,22658.93858,-0.01989,-0.01989,135.7155172413793
HeuristicBeliefAgent,99,0.0,0,0,100,0,26228.643914,-0.02538,-0.02538,137.71875
HeuristicBeliefAgent,96,0.0,0,0,100,0,18459.045249,-0.10622,-0.10622,154.20833333333334
HeuristicBeliefAgent,100,0.0,0,0,100,0,21699.663003,-0.17728,-0.17728,145.84
HeuristicBeliefAgent,110,0.0,0,0,100,0,24177.753934,-0.03127,-0.03127,139.36111111111111
HeuristicBeliefAgent,134,0.0,0,0,100,0,18185.757612,-0.07344,-0.07344,148.56153846153848
HeuristicBeliefAgent,118,0.0,0,0,100,0,31985.112172,-0.02343,-0.02343,135.79661016949152
HeuristicBeliefAgent,121,0.0,0,0,100,0,13621.072826,-0.05377,-0.05377,151.83760683760684
HeuristicBeliefAgent,86,0.0,0,0,100,0,25180.72307,-0.05141,-0.05141,133.96511627906978
HeuristicBeliefAgent,103,0.0,0,0,100,0,24289.142633,-0.26104,-0.26104,151.21782178217822
HeuristicBeliefAgent,130,0.0,0,0,100,0,21806.584377,-0.06615,-0.06615,124.59055118110236
HeuristicBeliefAgent,170,0.0,0,0,100,0,16064.092672,-0.38521,-0.38521,138.14634146341464
HeuristicBeliefAgent,100,0.0,0,0,100,0,27493.058009,-0.09238,-0.09238,136.7979797979798
HeuristicBeliefAgent,120,0.0,0,0,100,0,25086.620752,-0.00866,-0.00866,141.49579831932772
HeuristicBeliefAgent,95,0.0,0,0,100,0,24577.760765,-0.08875,-0.08875,143.03157894736842
HeuristicBeliefAgent,96,0.0,0,0,100,0,25028.643594,-0.06096,-0.06096,135.44210526315788
HeuristicBeliefAgent,153,0.0,0,0,100,0,14522.88742,-0.21158,-0.21158,133.3221476510067
HeuristicBeliefAgent,113,0.0,0,0,100,0,20148.289632,-0.04734,-0.04734,143.79464285714286
HeuristicBeliefAgent,101,0.0,0,0,100,0,18837.220596,-0.05637,-0.05637,130.989898989899
HeuristicBeliefAgent,97,0.0,0,0,100,0,19476.69385,-0.05009,-0.05009,153.44210526315788
HeuristicBeliefAgent,85,0.0,0,0,100,0,24875.875843,-0.14201,-0.14201,134.50588235294117
HeuristicBeliefAgent,113,0.0,0,0,100,0,30363.536794,-0.05191,-0.05191,132.86607142857142
HeuristicBeliefAgent,98,0.0,0,0,100,0,25137.622989,-0.04819,-0.04819,146.94623655913978
HeuristicBeliefAgent,95,0.0,0,0,100,0,22645.220132,-0.19794,-0.19794,137.1595744680851
HeuristicBeliefAgent,110,0.0,0,0,100,0,22887.050401,-0.02843,-0.02843,138.55140186915887
HeuristicBeliefAgent,120,0.0,0,0,100,0,24456.619022,-0.08534,-0.08534,135.47058823529412
HeuristicBeliefAgent,100,0.0,0,0,100,0,33054.988259,-0.11742,-0.11742,116.99
HeuristicBeliefAgent,132,0.0,0,0,100,0,15464.099637,-0.23397,-0.23397,121.52272727272727
HeuristicBeliefAgent,122,0.0,0,0,100,0,23086.147954,-0.04445,-0.04445,157.7
HeuristicBeliefAgent,111,0.0,0,0,100,0,25454.836718,-0.06572,-0.06572,143.11009174311926
HeuristicBeliefAgent,155,0.0,0,0,100,0,20491.184573,-0.09522,-0.09522,137.8181818181818
HeuristicBeliefAgent,88,0.0,0,0,100,0,26142.682303,-0.10362,-0.10362,152.54117647058823
HeuristicBeliefAgent,108,0.0,0,0,100,0,19107.326417,-0.01315,-0.01315,155.9056603773585
HeuristicBeliefAgent,168,0.0,0,0,100,0,17728.883314,-0.02999,-0.02999,145.03030303030303
HeuristicBeliefAgent,145,0.0,0,0,100,0,74564.572025,-0.00098,-0.00098,145.32142857142858
HeuristicBeliefAgent,145,0.0,0,0,100,0,38004.370975,-0.02135,-0.02135,144.58823529411765
HeuristicBeliefAgent,150,0.0,0,0,100,0,74150.693769,-0.00829,-0.00829,123.0
HeuristicBeliefAgent,127,0.0,0,0,100,0,108595.766984,0.00504,0.00504,130.08
HeuristicBeliefAgent,139,0.0,0,0,100,0,107739.014162,-0.00246,-0.00246,131.35087719298247
HeuristicBeliefAgent,140,0.0,0,0,100,0,36851.041109,-0.00362,-0.00362,140.52830188679246
HeuristicBeliefAgent,124,0.0,0,0,100,0,65895.026005,-0.00636,-0.00636,135.90243902439025
HeuristicBeliefAgent,157,0.0,0,0,100,0,71484.087679,-0.00305,-0.00305,135.02083333333334
HeuristicBeliefAgent,149,0.0,0,0,100,0,67918.563091,0.0097,0.0097,147.95833333333334
HeuristicBeliefAgent,161,0.0,0,0,100,0,73677.360994,-0.00047,-0.00047,132.25454545454545
HeuristicBeliefAgent,145,0.0,0,0,100,0,64931.239614,-0.00245,-0.00245,137.16666666666666
HeuristicBeliefAgent,140,0.0,0,0,100,0,95797.326019,-0.00035,-0.00035,134.3846153846154
HeuristicBeliefAgent,139,0.0,0,0,100,0,86492.692705,-0.00127,-0.00127,144.9607843137255
HeuristicBeliefAgent,161,0.0,0,0,100,0,104215.226168,-0.00192,-0.00192,136.62
