AgentType,TotalOrders,AvgAbsSlippage,NetSlippage,MaxAbsSlippage,PctIn,PctOut,AvgTime,FinalPctProfit,SlipAdjPctProfit
HeuristicBeliefLearningAgent,48,0.0,0,0,100,0,0.241681,-0.0007,-0.0007
HeuristicBeliefLearningAgent,25,0.0,0,0,100,0,0.184402,-0.00012,-0.00012
HeuristicBeliefLearningAgent,23,0.0,0,0,100,0,0.337371,0.00071,0.00071
HeuristicBeliefLearningAgent,25,0.0,0,0,100,0,0.426677,0.00285,0.00285
HeuristicBeliefLearningAgent,26,0.0,0,0,100,0,0.310631,0.00103,0.00103
HeuristicBeliefLearningAgent,32,0.0,0,0,100,0,0.096029,0.00246,0.00246
HeuristicBeliefLearningAgent,19,0.0,0,0,100,0,0.311313,0.00094,0.00094
HeuristicBeliefLearningAgent,25,0.0,0,0,100,0,0.254935,0.0016,0.0016
HeuristicBeliefLearningAgent,26,0.0,0,0,100,0,0.224335,0.0002,0.0002
HeuristicBeliefLearningAgent,15,0.0,0,0,100,0,0.00412,5e-05,5e-05
HeuristicBeliefLearningAgent,23,0.0,0,0,100,0,0.433939,-0.00035,-0.00035
HeuristicBeliefLearningAgent,29,0.0,0,0,100,0,0.529207,8e-05,8e-05
HeuristicBeliefLearningAgent,43,0.0,0,0,100,0,0.36508,0.0003,0.0003
HeuristicBeliefLearningAgent,20,0.0,0,0,100,0,0.337413,0.00103,0.00103
HeuristicBeliefLearningAgent,19,0.0,0,0,100,0,0.270744,-0.00013,-0.00013
HeuristicBeliefLearningAgent,27,0.0,0,0,100,0,0.448028,0.00152,0.00152
HeuristicBeliefLearningAgent,24,0.0,0,0,100,0,0.591274,-0.00014,-0.00014
HeuristicBeliefLearningAgent,23,0.0,0,0,100,0,0.604536,0.00023,0.00023
HeuristicBeliefLearningAgent,35,0.0,0,0,100,0,0.19428,0.00203,0.00203
HeuristicBeliefLearningAgent,37,0.0,0,0,100,0,0.137093,0.0005,0.0005
HeuristicBeliefLearningAgent,27,0.0,0,0,100,0,0.629849,-0.00031,-0.00031
HeuristicBeliefLearningAgent,28,0.0,0,0,100,0,0.448092,0.00041,0.00041
HeuristicBeliefLearningAgent,31,0.0,0,0,100,0,0.269192,0.00151,0.00151
HeuristicBeliefLearningAgent,25,0.0,0,0,100,0,0.540208,-0.0007,-0.0007
HeuristicBeliefLearningAgent,29,0.0,0,0,100,0,0.670264,0.00076,0.00076
HeuristicBeliefLearningAgent,23,0.0,0,0,100,0,0.3377,0.00069,0.00069
HeuristicBeliefLearningAgent,37,0.0,0,0,100,0,0.004868,0.00127,0.00127
HeuristicBeliefLearningAgent,30,0.0,0,0,100,0,0.177324,0.00183,0.00183
HeuristicBeliefLearningAgent,27,0.0,0,0,100,0,0.310006,-0.00014,-0.00014
HeuristicBeliefLearningAgent,28,0.0,0,0,100,0,0.129988,0.00022,0.00022
HeuristicBeliefLearningAgent,31,0.0,0,0,100,0,0.526273,-0.0019,-0.0019
HeuristicBeliefLearningAgent,21,0.0,0,0,100,0,0.338794,0.0025,0.0025
HeuristicBeliefLearningAgent,32,0.0,0,0,100,0,0.531319,0.00135,0.00135
HeuristicBeliefLearningAgent,32,0.0,0,0,100,0,0.575883,0.00025,0.00025
HeuristicBeliefLearningAgent,32,0.0,0,0,100,0,0.290541,0.0006,0.0006
HeuristicBeliefLearningAgent,30,0.0,0,0,100,0,0.098918,0.00072,0.00072
HeuristicBeliefLearningAgent,26,0.0,0,0,100,0,0.215244,0.00229,0.00229
HeuristicBeliefLearningAgent,26,0.0,0,0,100,0,0.432016,0.00268,0.00268
HeuristicBeliefLearningAgent,42,0.0,0,0,100,0,0.438522,0.00165,0.00165
HeuristicBeliefLearningAgent,24,0.0,0,0,100,0,0.549072,0.00047,0.00047
HeuristicBeliefLearningAgent,47,0.0,0,0,100,0,0.256119,0.00076,0.00076
HeuristicBeliefLearningAgent,25,0.0,0,0,100,0,0.239196,0.00033,0.00033
HeuristicBeliefLearningAgent,33,0.0,0,0,100,0,0.703649,0.00134,0.00134
HeuristicBeliefLearningAgent,67,0.0,0,0,100,0,0.559264,0.00131,0.00131
HeuristicBeliefLearningAgent,56,0.0,0,0,100,0,0.193532,0.00204,0.00204
HeuristicBeliefLearningAgent,49,0.0,0,0,100,0,0.0042,0.00169,0.00169
HeuristicBeliefLearningAgent,52,0.0,0,0,100,0,0.270207,0.00053,0.00053
HeuristicBeliefLearningAgent,22,0.0,0,0,100,0,0.367081,0.00012,0.00012
HeuristicBeliefLearningAgent,21,0.0,0,0,100,0,0.406288,0.00035,0.00035
HeuristicBeliefLearningAgent,44,0.0,0,0,100,0,0.377698,0.00084,0.00084
HeuristicBeliefLearningAgent,36,0.0,0,0,100,0,0.671653,0.00302,0.00302
HeuristicBeliefLearningAgent,19,0.0,0,0,100,0,0.43179,-0.00034,-0.00034
HeuristicBeliefLearningAgent,24,0.0,0,0,100,0,0.59243,0.00112,0.00112
HeuristicBeliefLearningAgent,26,0.0,0,0,100,0,0.629257,0.00034,0.00034
HeuristicBeliefLearningAgent,57,0.0,0,0,100,0,0.215634,-0.00107,-0.00107
HeuristicBeliefLearningAgent,26,0.0,0,0,100,0,0.00421,0.00041,0.00041
HeuristicBeliefLearningAgent,31,0.0,0,0,100,0,0.127553,0.00186,0.00186
HeuristicBeliefLearningAgent,32,0.0,0,0,100,0,0.337003,0.00024,0.00024
HeuristicBeliefLearningAgent,19,0.0,0,0,100,0,0.003292,0.00131,0.00131
HeuristicBeliefLearningAgent,33,0.0,0,0,100,0,0.64092,0.00117,0.00117
HeuristicBeliefLearningAgent,19,0.0,0,0,100,0,0.145921,0.00042,0.00042
HeuristicBeliefLearningAgent,28,0.0,0,0,100,0,0.503878,0.00034,0.00034
HeuristicBeliefLearningAgent,72,0.0,0,0,100,0,0.204532,0.0001,0.0001
HeuristicBeliefLearningAgent,33,0.0,0,0,100,0,0.628929,0.0004,0.0004
HeuristicBeliefLearningAgent,27,0.0,0,0,100,0,0.288233,0.00093,0.00093
HeuristicBeliefLearningAgent,30,0.0,0,0,100,0,0.448202,0.00021,0.00021
HeuristicBeliefLearningAgent,31,0.0,0,0,100,0,0.505781,-0.00027,-0.00027
HeuristicBeliefLearningAgent,25,0.0,0,0,100,0,0.224924,0.00048,0.00048
HeuristicBeliefLearningAgent,25,0.0,0,0,100,0,0.288112,0.00144,0.00144
HeuristicBeliefLearningAgent,20,0.0,0,0,100,0,0.433285,0.00105,0.00105
RetailExecutionAgent,37,1.864864864864865,-49,55,89,10,2.001208,0.46759,0.44216
RetailExecutionAgent,13,0.0,0,0,100,0,2.006584,0.58385,0.58385
RetailExecutionAgent,35,0.3142857142857143,1,6,91,8,2.003659,0.53407,0.53444
RetailExecutionAgent,48,0.4375,-1,10,95,4,2.000637,-3.91628,-3.91664
RetailExecutionAgent,25,2.76,-65,67,96,4,2.004017,-0.3223,-0.3482
RetailExecutionAgent,31,2.2580645161290325,-68,67,90,9,2.004264,1.30815,1.27825
RetailExecutionAgent,42,2.0714285714285716,-45,66,97,2,2.008832,-0.50614,-0.52348
RetailExecutionAgent,17,0.058823529411764705,-1,1,94,5,2.001788,0.37663,0.37625
RetailExecutionAgent,41,3.8780487804878048,137,75,95,4,2.008016,-1.03861,-0.98473
RetailExecutionAgent,30,0.1,1,1,96,3,2.000955,0.29716,0.29758
RetailExecutionAgent,38,3.5,53,82,92,7,2.006427,-0.35766,-0.33523
RetailExecutionAgent,45,2.3333333333333335,61,73,93,6,2.004964,-1.8129,-1.78611
RetailExecutionAgent,49,0.46938775510204084,-3,10,93,6,2.010184,-0.97004,-0.97107
RetailExecutionAgent,13,1.5384615384615385,20,18,100,0,2.009057,0.31503,0.32367
RetailExecutionAgent,30,1.3,-37,38,96,3,2.00636,-1.12728,-1.14276
RetailExecutionAgent,35,0.42857142857142855,9,10,94,5,2.003334,-0.48735,-0.48358
RetailExecutionAgent,46,0.45652173913043476,21,20,100,0,2.000887,-2.17093,-2.16246
RetailExecutionAgent,32,0.46875,11,10,93,6,2.002599,0.21405,0.2191
RetailExecutionAgent,22,4.818181818181818,104,105,95,4,2.009869,0.57413,0.6119
RetailExecutionAgent,25,0.52,-11,10,92,8,2.001535,0.76085,0.75601
RetailExecutionAgent,32,0.625,20,18,100,0,2.001086,0.31137,0.31943
RetailExecutionAgent,30,0.06666666666666667,0,1,96,3,2.001923,-0.02373,-0.02373
RetailExecutionAgent,37,2.27027027027027,-64,55,94,5,2.002471,0.43466,0.40923
RetailExecutionAgent,31,1.967741935483871,61,51,100,0,2.008354,-1.31591,-1.28868
RetailExecutionAgent,39,2.1538461538461537,84,73,100,0,2.005914,-1.34268,-1.31063
RetailExecutionAgent,39,1.9230769230769231,-69,67,84,15,2.004797,-0.80248,-0.82957
RetailExecutionAgent,43,0.9069767441860465,17,18,95,4,2.006355,0.89885,0.90548
RetailExecutionAgent,12,0.08333333333333333,-1,1,91,8,2.009195,0.50991,0.50941
RetailExecutionAgent,45,2.0444444444444443,62,73,88,11,2.003961,-0.7477,-0.72338
RetailExecutionAgent,32,2.125,-66,66,93,6,2.007452,-0.13531,-0.16653
