AgentType,TotalOrders,AvgAbsSlippage,NetSlippage,MaxAbsSlippage,PctIn,PctOut,AvgTime,FinalPctProfit,SlipAdjPctProfit,AvgSize
HeuristicBeliefAgent,154,0.0,0,0,100,0,1188.38806,-0.09528,-0.09528,145.13422818791946
HeuristicBeliefAgent,124,0.0,0,0,100,0,919.121584,0.00693,0.00693,137.76859504132233
HeuristicBeliefAgent,176,0.0,0,0,100,0,1522.906062,-0.11104,-0.11104,161.3918918918919
HeuristicBeliefAgent,144,0.0,0,0,100,0,1564.870591,0.00971,0.00971,140.97163120567376
HeuristicBeliefAgent,139,0.0,0,0,100,0,2759.473799,-0.06889,-0.06889,124.6376811594203
HeuristicBeliefAgent,140,0.0,0,0,100,0,4979.096591,-0.00895,-0.00895,153.0
HeuristicBeliefAgent,129,0.0,0,0,100,0,3351.216969,0.00124,0.00124,154.0
HeuristicBeliefAgent,143,0.0,0,0,100,0,4337.964639,0.02635,0.02635,149.68571428571428
HeuristicBeliefAgent,152,0.0,0,0,100,0,1766.776226,-0.01905,-0.01905,136.75838926174498
HeuristicBeliefAgent,149,0.0,0,0,100,0,1131.463549,-0.00065,-0.00065,158.09655172413792
HeuristicBeliefAgent,146,0.0,0,0,100,0,2402.715845,0.0049,0.0049,137.0758620689655
HeuristicBeliefAgent,152,0.0,0,0,100,0,990.681484,-0.02049,-0.02049,142.6689189189189
HeuristicBeliefAgent,142,0.0,0,0,100,0,9824.475218,0.00593,0.00593,148.43065693430657
HeuristicBeliefAgent,140,0.0,0,0,100,0,1324.091106,0.02689,0.02689,138.89208633093526
HeuristicBeliefAgent,151,0.0,0,0,100,0,2129.265021,0.00471,0.00471,132.7785234899329
HeuristicBeliefAgent,149,0.0,0,0,100,0,1925.553855,0.00679,0.00679,148.05369127516778
HeuristicBeliefAgent,176,0.0,0,0,100,0,1410.101505,0.00207,0.00207,152.4971098265896
HeuristicBeliefAgent,138,0.0,0,0,100,0,957.4438,-0.02097,-0.02097,144.0888888888889
HeuristicBeliefAgent,160,0.0,0,0,100,0,6386.981046,-0.02037,-0.02037,146.52866242038218
HeuristicBeliefAgent,150,0.0,0,0,100,0,4650.422291,-0.1107,-0.1107,149.9375
HeuristicBeliefAgent,111,0.0,0,0,100,0,1596.353722,0.00157,0.00157,136.89814814814815
HeuristicBeliefAgent,128,0.0,0,0,100,0,2963.748369,0.00508,0.00508,143.796875
HeuristicBeliefAgent,144,0.0,0,0,100,0,4044.914784,-0.03817,-0.03817,153.32167832167832
HeuristicBeliefAgent,163,0.0,0,0,100,0,1055.668635,0.00922,0.00922,152.35
HeuristicBeliefAgent,143,0.0,0,0,100,0,1035.065618,0.01542,0.01542,153.06338028169014
HeuristicBeliefAgent,141,0.0,0,0,100,0,6218.479526,0.00717,0.00717,150.29710144927537
HeuristicBeliefAgent,147,0.0,0,0,100,0,1109.324892,0.01925,0.01925,139.40277777777777
HeuristicBeliefAgent,163,0.0,0,0,100,0,1245.003798,0.01819,0.01819,153.29299363057325
HeuristicBeliefAgent,140,0.0,0,0,100,0,1420.133083,0.00363,0.00363,122.38571428571429
HeuristicBeliefAgent,154,0.0,0,0,100,0,1192.611035,-0.01264,-0.01264,132.18120805369128
HeuristicBeliefAgent,140,0.0,0,0,100,0,5358.077016,0.02127,0.02127,134.64028776978418
HeuristicBeliefAgent,139,0.0,0,0,100,0,5051.315066,-0.0039,-0.0039,155.08823529411765
HeuristicBeliefAgent,143,0.0,0,0,100,0,4811.865614,-0.02586,-0.02586,130.23021582733813
HeuristicBeliefAgent,130,0.0,0,0,100,0,834.019243,0.00252,0.00252,135.0873015873016
HeuristicBeliefAgent,138,0.0,0,0,100,0,974.176297,0.00041,0.00041,151.74814814814815
HeuristicBeliefAgent,143,0.0,0,0,100,0,2128.907138,-0.01159,-0.01159,148.67605633802816
HeuristicBeliefAgent,160,0.0,0,0,100,0,6053.430819,-0.01514,-0.01514,143.62025316455697
HeuristicBeliefAgent,130,0.0,0,0,100,0,4810.042047,0.01009,0.01009,147.8031496062992
HeuristicBeliefAgent,143,0.0,0,0,100,0,6793.381796,0.01397,0.01397,144.79285714285714
HeuristicBeliefAgent,140,0.0,0,0,100,0,2761.502858,0.02935,0.02935,150.47407407407408
HeuristicBeliefAgent,154,0.0,0,0,100,0,14749.480871,0.01627,0.01627,140.44666666666666
HeuristicBeliefAgent,150,0.0,0,0,100,0,1083.129629,0.04577,0.04577,133.15753424657535
HeuristicBeliefAgent,120,0.0,0,0,100,0,2751.737832,0.00195,0.00195,130.175
HeuristicBeliefAgent,152,0.0,0,0,100,0,3945.429823,-0.01866,-0.01866,147.39864864864865
HeuristicBeliefAgent,169,0.0,0,0,100,0,1294.733315,0.05917,0.05917,138.3095238095238
HeuristicBeliefAgent,150,0.0,0,0,100,0,1500.872928,-0.05541,-0.05541,141.43150684931507
HeuristicBeliefAgent,148,0.0,0,0,100,0,2016.239976,0.0335,0.0335,133.48979591836735
HeuristicBeliefAgent,145,0.0,0,0,100,0,4699.196571,0.04937,0.04937,144.76223776223776
HeuristicBeliefAgent,131,0.0,0,0,100,0,1274.344195,0.01445,0.01445,142.12977099236642
HeuristicBeliefAgent,157,0.0,0,0,100,0,1036.019393,0.0077,0.0077,152.0193548387097
HeuristicBeliefAgent,149,0.0,0,0,100,0,7312.409026,0.00321,0.00321,147.0
HeuristicBeliefAgent,155,0.0,0,0,100,0,2654.393958,0.04036,0.04036,142.02666666666667
HeuristicBeliefAgent,139,0.0,0,0,100,0,1047.942875,-0.00512,-0.00512,137.53676470588235
HeuristicBeliefAgent,159,0.0,0,0,100,0,2362.360938,0.07209,0.07209,139.1346153846154
HeuristicBeliefAgent,135,0.0,0,0,100,0,5178.166193,0.00121,0.00121,142.89473684210526
HeuristicBeliefAgent,133,0.0,0,0,100,0,4384.830229,-0.10666,-0.10666,146.4848484848485
HeuristicBeliefAgent,142,0.0,0,0,100,0,675.065477,0.1408,0.1408,143.2836879432624
HeuristicBeliefAgent,165,0.0,0,0,100,0,1242.752351,0.01617,0.01617,146.82208588957056
HeuristicBeliefAgent,126,0.0,0,0,100,0,1239.399868,0.00052,0.00052,135.984
HeuristicBeliefAgent,145,0.0,0,0,100,0,2613.776628,-0.01376,-0.01376,148.66666666666666
HeuristicBeliefAgent,140,0.0,0,0,100,0,5161.742765,-0.02686,-0.02686,140.0935251798561
HeuristicBeliefAgent,147,0.0,0,0,100,0,1399.360272,0.02368,0.02368,150.16666666666666
HeuristicBeliefAgent,121,0.0,0,0,100,0,10579.943962,0.00984,0.00984,138.26495726495727
HeuristicBeliefAgent,151,0.0,0,0,100,0,3914.206733,0.01633,0.01633,133.53642384105962
HeuristicBeliefAgent,171,0.0,0,0,100,0,4197.425553,0.01957,0.01957,145.3550295857988
HeuristicBeliefAgent,159,0.0,0,0,100,0,2842.559319,0.073,0.073,150.43589743589743
HeuristicBeliefAgent,162,0.0,0,0,100,0,1116.266353,0.00704,0.00704,148.9245283018868
HeuristicBeliefAgent,116,0.0,0,0,100,0,6974.800185,0.00239,0.00239,135.63478260869564
HeuristicBeliefAgent,155,0.0,0,0,100,0,7150.440943,0.00033,0.00033,152.69281045751634
HeuristicBeliefAgent,147,0.0,0,0,100,0,5163.556308,0.01493,0.01493,160.95804195804195
HeuristicBeliefAgent,154,0.0,0,0,100,0,4662.743454,-0.00106,-0.00106,142.1456953642384
RetailExecutionAgent,37,0.5135135135135135,9,11,91,8,2.010659,0.27557,0.28024,1.7027027027027026
RetailExecutionAgent,29,0.27586206896551724,0,2,86,13,2.002177,-1.41139,-1.41139,1.5517241379310345
RetailExecutionAgent,33,1.2121212121212122,-22,28,87,12,2.008887,-0.14806,-0.15627,2.090909090909091
RetailExecutionAgent,33,1.2424242424242424,-17,28,93,6,2.004739,-1.15703,-1.16325,3.0303030303030303
RetailExecutionAgent,36,0.9444444444444444,2,17,86,13,2.003498,-0.68166,-0.68086,1.3333333333333333
RetailExecutionAgent,29,1.5517241379310345,-35,28,89,10,2.005545,-0.0963,-0.11169,2.9655172413793105
RetailExecutionAgent,35,0.8285714285714286,1,11,85,14,2.004749,-0.31764,-0.31725,2.1142857142857143
RetailExecutionAgent,26,0.7692307692307693,12,11,84,15,2.007904,-0.18697,-0.18234,2.6923076923076925
RetailExecutionAgent,31,1.2903225806451613,10,11,83,16,2.010046,-0.07433,-0.07039,2.193548387096774
RetailExecutionAgent,25,0.64,-10,11,88,12,2.002921,-1.27905,-1.28323,1.96
RetailExecutionAgent,33,0.9696969696969697,-6,11,81,18,2.005576,-0.4148,-0.41734,1.4545454545454546
RetailExecutionAgent,32,1.28125,-31,31,84,15,2.01212,-0.05841,-0.07202,2.6875
RetailExecutionAgent,27,2.0,28,39,88,11,2.011686,-0.39572,-0.38618,1.9259259259259258
RetailExecutionAgent,32,0.625,-8,11,87,12,2.002541,-0.07087,-0.07433,1.5625
RetailExecutionAgent,33,1.2424242424242424,27,13,78,21,2.001623,-0.30284,-0.29155,1.3636363636363635
RetailExecutionAgent,25,1.2,20,11,88,12,2.006532,1.848,1.85638,2.08
RetailExecutionAgent,31,0.9354838709677419,7,11,90,9,2.01,0.06334,0.06616,1.6129032258064515
RetailExecutionAgent,33,0.5454545454545454,-10,11,87,12,2.00238,1.07715,1.07256,1.696969696969697
RetailExecutionAgent,39,0.717948717948718,0,11,89,10,2.006487,1.20709,1.20709,2.076923076923077
RetailExecutionAgent,27,0.2962962962962963,4,2,92,7,2.002923,0.82998,0.83174,3.4074074074074074
RetailExecutionAgent,22,1.1818181818181819,-24,21,81,18,2.001551,-0.02054,-0.03021,1.3636363636363635
RetailExecutionAgent,32,1.96875,-9,24,84,15,2.000818,-1.45584,-1.46002,1.53125
RetailExecutionAgent,31,1.0,3,11,87,12,2.006609,-1.29881,-1.29762,2.4516129032258065
RetailExecutionAgent,33,1.2121212121212122,-28,21,87,12,2.001671,0.57225,0.55975,1.7575757575757576
RetailExecutionAgent,52,4.135135135135135,-151,19,43,56,3970.966378,-1.35077,-1.41518,1.4054054054054055
RetailExecutionAgent,27,1.1481481481481481,21,12,85,14,2.001483,-0.38613,-0.37812,2.3703703703703702
RetailExecutionAgent,31,1.3870967741935485,-39,28,83,16,2.004487,-1.57041,-1.58572,2.032258064516129
RetailExecutionAgent,27,1.0,-25,21,81,18,2.000607,1.14335,1.1336,1.6296296296296295
RetailExecutionAgent,33,0.8181818181818182,5,11,96,3,2.008503,0.28306,0.28555,2.3636363636363638
RetailExecutionAgent,33,1.7575757575757576,4,21,81,18,2.000976,1.16077,1.16234,1.7575757575757576
RetailExecutionAgent,30,0.7,9,12,90,10,2.001697,0.22993,0.23419,1.9333333333333333
